,Weights of regression,Bias of regression,Graph_index
36,"[6.2251597e-04 1.0307459e-04 1.0004340e-04 3.0801483e-04 4.9257436e-04
 2.1864673e-04 6.5045242e-05 2.5951423e-04 2.1859114e-04 4.9257826e-04
 2.1864218e-04 2.7427450e-04 1.9341381e-04 9.8631135e-06 2.1932193e-04
 1.9342426e-04 2.1933482e-04 2.1931200e-04 2.1863845e-04 2.1667648e-04
 8.8874891e-04 1.0997083e-04 8.8019529e-04 8.8018621e-04 1.0990334e-04]",0.9801279,580
37,"[ 0.12082859 -0.06455731 -0.06671916 -0.06672752 -0.06672582 -0.06624107
 -0.06457989 -0.06621628 -0.06626533 -0.0666769  -0.06681432 -0.06620638
 -0.06622774 -0.06624655 -0.06623289 -0.06674306 -0.06625116 -0.06623805
 -0.06626078 -0.06678528  0.4219376   0.42201534  0.42167398  0.42134497
  0.42204037]",0.019827813,585
38,"[0.000839   0.00024472 0.00024792 0.00024465 0.00024461 0.00019643
 0.00018877 0.00024465 0.00024466 0.00022079 0.00018897 0.00022605
 0.00022069 0.00022593 0.00019307 0.00020628 0.00020628 0.00019668
 0.00020633 0.00019655 0.00096791 0.00025284 0.00094411 0.00094416
 0.00025287]",0.9801278,590
39,"[ 0.12016033 -0.06472374 -0.06674086 -0.06626704 -0.06652249 -0.0666646
 -0.06630477 -0.06676401 -0.06476973 -0.06624871 -0.06660804 -0.06666277
 -0.06594855 -0.06630656 -0.06673399 -0.0659655  -0.06593534 -0.0662643
 -0.06475043 -0.06628291  0.42123112  0.4211607   0.4213587   0.42126274
  0.42191327]",0.019827902,595
40,"[ 0.12215841 -0.06539097 -0.06614549 -0.06450374 -0.06611891 -0.06651026
 -0.06647721 -0.06647778 -0.06658103 -0.06657144 -0.06657702 -0.06657474
 -0.0665742  -0.06648847 -0.0665746  -0.06658028 -0.06650244 -0.06656687
 -0.06657282 -0.06657594  0.42153782  0.42159668  0.42311975  0.42169535
  0.42235157]",0.019827545,600
41,"[ 0.11970168 -0.06493115 -0.0648092  -0.06496525 -0.0648836  -0.06495065
 -0.0649682  -0.06497414 -0.06484701 -0.06483353 -0.06482047 -0.06495462
 -0.06485432 -0.0648273  -0.0648188  -0.0648231  -0.06473884 -0.06485286
 -0.06484844 -0.06481675  0.41941485  0.41924167  0.4070493   0.4167612
  0.4167568 ]",0.019827425,605
42,"[ 0.12122049 -0.0645907  -0.06619479 -0.06610228 -0.06451131 -0.0664449
 -0.06649096 -0.06647532 -0.06643679 -0.06649976 -0.06650881 -0.0664465
 -0.06651121 -0.06648865 -0.06649791 -0.06649401 -0.06651174 -0.06656455
 -0.06653711 -0.06646483  0.42176512  0.4217416   0.42218295  0.42154738
  0.42240164]",0.019827604,610
43,"[ 0.12074319 -0.06650516 -0.06632125 -0.06657197 -0.06437621 -0.06656491
 -0.06629888 -0.06656348 -0.06634409 -0.06436339 -0.06632656 -0.0663401
 -0.06633008 -0.06661679 -0.06636312 -0.06631583 -0.06661536 -0.06634908
 -0.06630965 -0.06632993  0.42149803  0.42151594  0.4220269   0.42141792
  0.4221784 ]",0.019828081,615
44,"[ 0.12071678 -0.0548365  -0.06681275 -0.06519203 -0.06681345 -0.06680106
 -0.0667906  -0.06676117 -0.06679845 -0.0668108  -0.06678122 -0.06680319
 -0.06678897 -0.06680949 -0.06678079 -0.06677999 -0.06677848 -0.06675571
 -0.06676006 -0.06679286  0.4209246   0.42100912  0.4212876   0.42117012
  0.42165983]",0.019827545,620
45,"[ 0.12071059 -0.05516424 -0.06670627 -0.06668356 -0.06669584 -0.06667125
 -0.06673956 -0.0666893  -0.06667699 -0.06669604 -0.06669044 -0.06666716
 -0.06659917 -0.06665094 -0.0666635  -0.0666649  -0.06659148 -0.06669922
 -0.06667094 -0.06669245  0.42088863  0.4208871   0.42140585  0.42117724
  0.42170465]",0.019827306,625
46,"[ 0.12122204 -0.05875907 -0.06663984 -0.06663688 -0.06661191 -0.06669739
 -0.06662881 -0.06664958 -0.0666538  -0.0666381  -0.0666372  -0.06662755
 -0.06670132 -0.06664017 -0.06660862 -0.06661661 -0.0666083  -0.06664077
 -0.06663874 -0.06660422  0.42144278  0.42145976  0.42209768  0.42154714
  0.42220572]",0.019827545,630
47,"[ 2.5154382e-04  1.4752138e-04  2.4275736e-04  2.6899384e-04
  3.2522564e-04  9.5709146e-04  3.2535478e-04  3.2534514e-04
  2.4838423e-04  3.6776380e-04  2.6114917e-04  2.9441767e-04
  3.2533577e-04  3.6780891e-04  3.2572664e-04  3.6778828e-04
  3.6777311e-04  2.9439863e-04  3.2533650e-04 -2.0382649e-04
 -9.8822580e-05 -5.0904491e-05  1.2941155e-04  1.2940286e-04
 -5.0932373e-05]",0.98012805,635
48,"[ 0.12118061 -0.06628968 -0.06631316 -0.0663214  -0.06624815 -0.06627589
 -0.06630245 -0.06630912 -0.06631911 -0.06629749 -0.06627688 -0.06631164
 -0.06629226 -0.06629983 -0.06631865 -0.06631105 -0.06630935 -0.06631857
 -0.06632525 -0.06629021  0.42183903  0.42190677  0.42241547  0.42195368
  0.42265224]",0.019827694,640
49,"[ 0.1206474  -0.05534909 -0.06677856 -0.06676671 -0.06678225 -0.06679107
 -0.06675172 -0.06674691 -0.06519575 -0.06675805 -0.0667795  -0.06676814
 -0.06673479 -0.0667686  -0.06675237 -0.06676157 -0.06677687 -0.06675339
 -0.06677258 -0.06676818  0.4210032   0.4210246   0.42133263  0.4210755
  0.42168465]",0.019827485,645
50,"[0.00087706 0.00021973 0.00023097 0.00021081 0.00020806 0.00021073
 0.00021078 0.00021078 0.00021075 0.00020808 0.00021074 0.0002108
 0.00020804 0.00021973 0.00021078 0.00022276 0.00020814 0.00021078
 0.00022272 0.00020803 0.00097354 0.00026358 0.00093846 0.00093839
 0.00026362]",0.9801278,650
51,"[ 0.12079931 -0.06629648 -0.06630582 -0.06628428 -0.06628874 -0.06632724
 -0.06629229 -0.06633174 -0.06630354 -0.06630281 -0.06631595 -0.06616452
 -0.06634302 -0.06618571 -0.06629989 -0.06632954 -0.06631376 -0.06637151
 -0.06632146 -0.06631619  0.42206335  0.42194593  0.4224755   0.421928
  0.42270127]",0.019827336,655
